Id_Producto;Cliente;Punto_de_Venta;Familia;Subfamilia;Formato;Precio;Margen;Cliente_Objetivo;Color;Material;Peso;Tamaño;Marca;País_Origen;Ventas_Base;Facturación_Total;Canal_de_Ventas;Numero_Puntos_de_Venta;Región;Segmento;Antigüedad;Población_500m;Población_2km;Puntos_de_Venta_Cercanos;Aparcamiento;Accesibilidad;Horas_Operación;Tipo_Zona;Historico 2023-01;Historico 2023-02;Historico 2023-03;Historico 2023-04;Historico 2023-05;Historico 2023-06;Historico 2023-07;Historico 2023-08;Historico 2023-09;Historico 2023-10;Historico 2023-11;Historico 2023-12;Historico 2024-1;Historico 2024-12;Historico 2024-3
P39;C10;10;Familia_20;Subfamilia_1;Grande;672.94;0.25;Adultos;Negro;Metal;4.174.870.827.430.390;Pequeño;MarcaD;España;526;797152.75;Físico;15;Este;Baja;3;5769;35165;11;Sí;Media;oct-21;Residencial;459161.0;487915.0;609503.0;583005.0;523407.0;525556.0;507412.0;623576.0;381272.0;785734.0;684980;753225;404053;457188;486087.0
P19;C11;12;Familia_19;Subfamilia_5;Pequeño;14.56;0.22;Adolescentes;Blanco;Madera;862.454.173.298.195;Grande;MarcaA;España;610;385158.14;Mixto;15;Oeste;Alta;8;4842;38910;14;No;Baja;oct-20;Comercial;4135.0;3937.0;4434.0;3006.0;5700.0;4522.0;2685.0;2448.0;3101.0;5849.0;4273;4116;4168;5199;3986.0
P58;C12;14;Familia_11;Subfamilia_2;Pequeño;136.24;0.11;Adultos;Negro;Metal;5.227.262.291.755.480;Mediano;MarcaB;Alemania;570;930519.32;Online;15;Oeste;Baja;8;4493;46031;12;No;Alta;sep-20;Industrial;8228.0;5400.0;7265.0;5577.0;9590.0;5540.0;6252.0;8249.0;9439.0;6606.0;7715;6350;6408;7748;8091.0
P66;C13;11;Familia_10;Subfamilia_0;Mediano;417.53;0.12;Adultos;Verde;Madera;432.979.876.069.808;Mediano;MarcaD;China;635;390492.15;Mixto;15;Norte;Alta;8;5249;48272;12;No;Baja;ago-18;Industrial;3748.0;3438.0;4249.0;5422.0;4265.0;3171.0;4106.0;4915.0;2809.0;3452.0;4823;4718;2937;3638;4291.0
P45;C14;10;Familia_17;Subfamilia_5;Pequeño;554.71;0.16;Niños;Negro;Metal;75.745.191.671.028.900;Pequeño;MarcaD;España;544;609496.46;Mixto;15;Este;Baja;2;8403;15371;12;No;Media;sep-21;Comercial;340800.0;196535.0;301812.0;275454.0;187786.0;299956.0;189801.0;237928.0;281615.0;265874.0;284138;335283;329662;226905;278336.0
P51;C15;11;Familia_22;Subfamilia_0;Grande;407.61;0.22;Niños;Verde;Metal;63.052.775.919.915.400;Mediano;MarcaA;USA;453;477368.76;Mixto;15;Oeste;Alta;5;4681;43704;10;No;Baja;sep-21;Comercial;801.0;861.0;970.0;739.0;907.0;813.0;991.0;879.0;923.0;764.0;830;751;699;880;1030.0
P22;C16;10;Familia_11;Subfamilia_0;Pequeño;123.11;0.2;Adolescentes;Rojo;Madera;4.925.475.817.925.060;Pequeño;MarcaB;España;489;939772.97;Mixto;15;Este;Alta;7;3441;18514;17;Sí;Alta;ago-20;Comercial;7321.0;7199.0;9398.0;11143.0;9394.0;8716.0;8216.0;6148.0;9228.0;11483.0;11991;7906;10296;10012;9359.0
P25;C17;12;Familia_14;Subfamilia_4;Mediano;642.7;0.17;Niños;Verde;Plástico;6.003.666.150.518.420;Pequeño;MarcaD;España;121;920912.43;Mixto;15;Norte;Alta;5;2981;47342;14;No;Alta;oct-22;Comercial;6476.0;7169.0;7483.0;7696.0;8942.0;8993.0;7832.0;13062.0;8983.0;7946.0;5703;6908;9245;4583;4833.0
P18;C18;10;Familia_14;Subfamilia_2;Mediano;857.19;0.09;Adultos;Blanco;Metal;862.454.173.298.195;Pequeño;MarcaC;España;221;141001.18;Mixto;15;Sur;Baja;2;7920;12644;13;Sí;Baja;ago-18;Industrial;2429.0;1732.0;1635.0;3028.0;1806.0;1954.0;2562.0;2720.0;2127.0;2236.0;2272;2435;1774;2155;1588.0
P9;C20;2;Familia_25;Subfamilia_4;Pequeño;206.52;0.29;Adultos;Azul;Plástico;0.6412789856525488;Pequeño;MarcaC;España;924;294260.81;Online;15;Este;Baja;9;4089;38967;10;Sí;Media;ago-21;Industrial;11349.0;13746.0;8300.0;8530.0;18504.0;12740.0;8463.0;13692.0;13556.0;19609.0;16206;15675;15857;14535;7623.0
P33;C21;7;Familia_7;Subfamilia_3;Grande;242.88;0.26;Niños;Azul;Madera;4.174.870.827.430.390;Pequeño;MarcaD;China;625;591765.43;Online;15;Este;Baja;9;3400;44615;1;No;Alta;ago-20;Comercial;1139.0;1309.0;996.0;1161.0;1126.0;1313.0;1228.0;1457.0;1171.0;1320.0;1042;1041;1297;1178;1233.0
P20;C22;12;Familia_17;Subfamilia_2;Grande;331.27;0.29;Adultos;Negro;Metal;4.943.612.465.035.950;Pequeño;MarcaC;USA;418;930159.46;Mixto;15;Norte;Alta;6;9132;43482;7;No;Baja;ago-20;Industrial;621711.0;230061.0;513266.0;509687.0;350723.0;447993.0;393012.0;376897.0;702369.0;588609.0;660663;372544;709628;274265;567056.0
P0;C23;4;Familia_7;Subfamilia_4;Grande;212.54;0.08;Adolescentes;Negro;Madera;890.044.730.279.321;Grande;MarcaA;China;492;529780.28;Mixto;15;Norte;Baja;8;6260;24166;18;Sí;Media;sep-19;Residencial;776.0;730.0;756.0;662.0;796.0;728.0;687.0;778.0;724.0;782.0;684;704;772;798;644.0
P19;C24;9;Familia_19;Subfamilia_5;Pequeño;14.56;0.22;Adolescentes;Blanco;Madera;862.454.173.298.195;Grande;MarcaA;España;610;695683.49;Online;15;Oeste;Alta;6;9848;45941;18;No;Alta;sep-18;Comercial;14861.0;12057.0;17680.0;11127.0;12367.0;12885.0;10856.0;7671.0;8564.0;12389.0;13028;8478;18962;13222;13924.0
P24;C25;3;Familia_11;Subfamilia_3;Mediano;853.34;0.29;Adolescentes;Negro;Vidrio;4.174.870.827.430.390;Grande;MarcaB;Alemania;239;347505.5;Online;15;Sur;Baja;5;8593;36312;8;Sí;Baja;oct-22;Comercial;83501.0;87756.0;70534.0;70756.0;73962.0;88322.0;67600.0;79467.0;64218.0;84242.0;80829;64476;94725;88593;64606.0
P51;C19;6;Familia_22;Subfamilia_0;Grande;407.61;0.22;Niños;Verde;Metal;63.052.775.919.915.400;Mediano;MarcaA;USA;453;379588.74;Mixto;15;Este;Media;2;1066;38701;17;Sí;Media;sep-22;Comercial;492.0;540.0;525.0;502.0;504.0;514.0;530.0;527.0;555.0;527.0;546;529;496;520;521.0
P52;C12;9;Familia_16;Subfamilia_3;Mediano;532.01;0.2;Adolescentes;Blanco;Plástico;432.979.876.069.808;Grande;MarcaC;USA;272;930519.32;Online;15;Oeste;Baja;8;9849;16347;4;No;Alta;ago-22;Residencial;85552.0;56531.0;72949.0;69577.0;50393.0;62391.0;64465.0;71132.0;62317.0;65895.0;94032;65249;101917;36164;70896.0
P53;C12;7;Familia_7;Subfamilia_4;Grande;357.25;0.12;Adultos;Azul;Madera;0.6412789856525488;Grande;MarcaC;USA;420;930519.32;Online;15;Oeste;Baja;8;7880;46431;19;Sí;Alta;oct-20;Comercial;1477.0;2215.0;1401.0;1499.0;1881.0;2323.0;1775.0;1606.0;2146.0;1562.0;1499;2040;2075;2575;1891.0
P54;C21;4;Familia_24;Subfamilia_4;Grande;91.37;0.06;Adolescentes;Negro;Vidrio;890.044.730.279.321;Grande;MarcaB;China;783;591765.43;Online;15;Este;Baja;9;3800;8117;6;Sí;Baja;sep-22;Industrial;3019.0;2501.0;2540.0;3587.0;2607.0;3886.0;3800.0;3142.0;3214.0;3992.0;4322;3390;3235;3075;3166.0
P55;C3;1;Familia_19;Subfamilia_2;Mediano;438.44;0.13;Adolescentes;Rojo;Plástico;0.512466155894475;Mediano;MarcaA;USA;850;326029.1;Físico;15;Sur;Media;1;9829;7214;12;Sí;Baja;ago-22;Comercial;87575.0;144894.0;166949.0;81297.0;107012.0;118169.0;77922.0;59730.0;65525.0;124891.0;139381;85662;149302;144925;142863.0
P56;C25;4;Familia_12;Subfamilia_4;Mediano;575.14;0.12;Niños;Rojo;Metal;4.943.612.465.035.950;Grande;MarcaC;España;764;347505.5;Online;15;Sur;Baja;5;5432;13618;20;Sí;Alta;oct-21;Residencial;3692.0;2775.0;4008.0;3221.0;4034.0;3761.0;3967.0;3172.0;3242.0;2390.0;3530;2351;3287;2413;3034.0
P57;C9;9;Familia_22;Subfamilia_0;Grande;766.46;0.11;Adultos;Azul;Plástico;5.590.950.178.960.350;Pequeño;MarcaD;Alemania;738;294386.96;Mixto;15;Este;Baja;9;5549;44070;15;Sí;Alta;ago-19;Industrial;989.0;958.0;1061.0;926.0;1020.0;949.0;1120.0;931.0;1027.0;924.0;1049;983;963;1104;1135.0
P58;C8;0;Familia_11;Subfamilia_2;Pequeño;136.24;0.11;Adultos;Negro;Metal;5.227.262.291.755.480;Mediano;MarcaB;Alemania;570;617307.73;Físico;15;Este;Media;4;5170;11637;11;No;Media;ago-18;Residencial;6619.0;5907.0;7733.0;6812.0;5111.0;4889.0;4431.0;4031.0;5715.0;5143.0;6507;8031;6708;4659;4488.0
P59;C5;12;Familia_21;Subfamilia_4;Pequeño;557.24;0.25;Niños;Azul;Plástico;7.354.114.476.561.300;Grande;MarcaD;Alemania;755;288048.96;Online;15;Norte;Media;9;5059;26357;16;Sí;Media;oct-20;Residencial;21807.0;14497.0;20680.0;13560.0;20193.0;14664.0;31756.0;14067.0;29134.0;16361.0;16175;13305;18299;24135;25243.0
P60;C3;6;Familia_18;Subfamilia_1;Mediano;983.48;0.26;Adolescentes;Blanco;Vidrio;5.590.950.178.960.350;Mediano;MarcaC;USA;209;326029.1;Físico;15;Sur;Media;1;4604;25741;14;Sí;Baja;ago-19;Industrial;111072.0;153372.0;127563.0;173140.0;206358.0;149059.0;115664.0;113072.0;131879.0;71868.0;137565;143317;137477;116199;76948.0
P61;C13;9;Familia_12;Subfamilia_3;Mediano;150.53;0.16;Niños;Rojo;Metal;4.943.612.465.035.950;Grande;MarcaA;España;314;390492.15;Mixto;15;Norte;Alta;8;4774;18330;16;No;Media;oct-21;Residencial;1163.0;954.0;999.0;1275.0;978.0;1267.0;1406.0;1050.0;1020.0;975.0;1260;860;978;1032;1126.0
P62;C24;1;Familia_10;Subfamilia_1;Grande;548.69;0.25;Niños;Negro;Madera;7.704.231.705.525.990;Pequeño;MarcaC;Alemania;452;695683.49;Online;15;Oeste;Alta;6;3464;15748;18;No;Media;ago-21;Comercial;9324.0;10525.0;11239.0;11023.0;13600.0;12505.0;10505.0;14299.0;6920.0;13031.0;16725;10933;9602;12435;9598.0
P63;C15;2;Familia_19;Subfamilia_1;Mediano;69.97;0.26;Niños;Rojo;Madera;4.925.475.817.925.060;Pequeño;MarcaD;China;644;477368.76;Mixto;15;Oeste;Alta;5;8881;44138;18;Sí;Media;oct-22;Residencial;64515.0;43542.0;58305.0;43915.0;51249.0;32208.0;41217.0;39680.0;37339.0;47609.0;70983;47868;63727;44436;64485.0
P64;C5;7;Familia_3;Subfamilia_4;Mediano;915.63;0.21;Adolescentes;Negro;Vidrio;862.454.173.298.195;Mediano;MarcaC;España;790;288048.96;Online;15;Norte;Media;9;6474;49441;7;Sí;Media;sep-20;Residencial;42019.0;32593.0;52832.0;34312.0;39902.0;49596.0;52623.0;37495.0;31365.0;57306.0;45298;48266;33817;38683;35169.0
P65;C16;14;Familia_12;Subfamilia_1;Mediano;340.25;0.12;Adolescentes;Blanco;Vidrio;4.925.475.817.925.060;Pequeño;MarcaD;China;101;939772.97;Mixto;15;Este;Alta;7;6866;33201;13;No;Media;oct-19;Residencial;4104.0;2704.0;4209.0;5850.0;6486.0;3798.0;5382.0;4506.0;4318.0;3538.0;4291;2986;5211;4087;4095.0
P66;C3;9;Familia_10;Subfamilia_0;Mediano;417.53;0.12;Adultos;Verde;Madera;432.979.876.069.808;Mediano;MarcaD;China;635;326029.1;Físico;15;Sur;Media;1;8123;9264;1;No;Media;ago-18;Industrial;3246.0;4817.0;4358.0;5708.0;5237.0;4636.0;5224.0;4359.0;4319.0;5062.0;6048;4669;4856;4950;4983.0
P67;C13;12;Familia_21;Subfamilia_5;Grande;24.69;0.25;Adolescentes;Rojo;Plástico;9.701.073.315.900.780;Mediano;MarcaA;España;264;390492.15;Mixto;15;Norte;Alta;8;1434;37929;1;No;Baja;sep-18;Comercial;495.0;563.0;747.0;621.0;499.0;596.0;684.0;612.0;656.0;582.0;494;573;505;639;743.0
P68;C22;11;Familia_20;Subfamilia_7;Mediano;365.26;0.29;Adultos;Azul;Madera;7.704.231.705.525.990;Pequeño;MarcaD;España;790;930159.46;Mixto;15;Norte;Alta;6;2338;46677;14;Sí;Alta;oct-19;Comercial;140554.0;184729.0;218730.0;239558.0;183465.0;186350.0;159786.0;226394.0;145945.0;267929.0;123746;212972;170943;227539;215542.0
P69;C11;12;Familia_10;Subfamilia_4;Pequeño;576.91;0.2;Adolescentes;Rojo;Metal;4.174.870.827.430.390;Pequeño;MarcaC;España;180;385158.14;Mixto;15;Oeste;Alta;8;4842;38910;14;No;Baja;oct-20;Comercial;7117.0;5127.0;8530.0;7386.0;5723.0;5952.0;9737.0;9097.0;5467.0;6528.0;6661;5754;7009;7997;7894.0
P45;C0;10;Familia_17;Subfamilia_5;Pequeño;554.71;0.16;Niños;Negro;Metal;75.745.191.671.028.900;Pequeño;MarcaD;España;544;878396.09;Mixto;15;Oeste;Alta;5;2504;35768;17;Sí;Baja;oct-20;Residencial;97683.0;59998.0;89749.0;107511.0;81383.0;124869.0;64657.0;68503.0;158570.0;96480.0;108064;104885;153937;89526;100588.0
P21;C1;10;Familia_6;Subfamilia_5;Mediano;704.91;0.16;Adultos;Azul;Metal;8.060.059.107.230.020;Mediano;MarcaD;USA;182;353899.08;Online;15;Norte;Media;10;1741;25289;13;No;Media;ago-18;Comercial;11176.0;8840.0;6104.0;10977.0;10457.0;9239.0;7715.0;10595.0;6137.0;12619.0;11349;6191;9208;10525;9258.0
P2;C2;10;Familia_17;Subfamilia_1;Grande;791.98;0.07;Niños;Negro;Plástico;63.052.775.919.915.400;Mediano;MarcaD;España;814;890575.28;Físico;15;Norte;Alta;9;5903;28792;19;No;Baja;ago-22;Comercial;165586.0;126390.0;166299.0;199718.0;169880.0;126130.0;142367.0;130072.0;223061.0;174347.0;171890;168239;166221;126741;126684.0
P38;C3;14;Familia_10;Subfamilia_1;Grande;868.79;0.16;Adultos;Blanco;Metal;4.925.475.817.925.060;Mediano;MarcaC;España;388;326029.1;Físico;15;Sur;Media;1;2459;15990;4;No;Baja;ago-19;Comercial;3266.0;4015.0;5244.0;3561.0;3321.0;3496.0;4007.0;5359.0;2492.0;3365.0;3829;4268;2943;3614;3824.0
P39;C4;13;Familia_20;Subfamilia_1;Grande;672.94;0.25;Adultos;Negro;Metal;4.174.870.827.430.390;Pequeño;MarcaD;España;526;542176.08;Online;15;Norte;Media;2;5287;32706;4;No;Alta;oct-19;Industrial;416360.0;335311.0;493405.0;497420.0;352034.0;471281.0;323662.0;479758.0;213788.0;365308.0;267563;568719;441219;357337;447242.0
P12;C5;14;Familia_16;Subfamilia_8;Pequeño;838.66;0.2;Adolescentes;Azul;Vidrio;5.227.262.291.755.480;Mediano;MarcaC;España;195;288048.96;Online;15;Norte;Media;9;6775;22241;2;Sí;Alta;oct-18;Comercial;22234.0;13495.0;23383.0;30012.0;20448.0;20402.0;20984.0;24650.0;21864.0;15367.0;25436;31100;21817;20498;31952.0
P58;C6;13;Familia_11;Subfamilia_2;Pequeño;136.24;0.11;Adultos;Negro;Metal;5.227.262.291.755.480;Mediano;MarcaB;Alemania;570;474948.23;Físico;15;Oeste;Media;1;7863;36297;3;Sí;Baja;ago-22;Residencial;4780.0;5134.0;7065.0;6837.0;6977.0;5271.0;5122.0;6632.0;6627.0;7579.0;6017;6138;6172;6650;6402.0
P16;C7;12;Familia_10;Subfamilia_5;Mediano;632.09;0.27;Adultos;Blanco;Metal;7.704.231.705.525.990;Grande;MarcaD;USA;138;693729.98;Mixto;15;Este;Alta;7;5827;35170;6;Sí;Alta;ago-20;Industrial;13308.0;22177.0;22337.0;25805.0;25463.0;15819.0;32303.0;26127.0;17261.0;31014.0;23912;27915;13429;22770;23309.0
P29;C8;13;Familia_5;Subfamilia_5;Mediano;833.51;0.22;Niños;Negro;Madera;5.590.950.178.960.350;Grande;MarcaC;China;516;617307.73;Físico;15;Este;Media;4;3768;7831;4;Sí;Media;ago-22;Industrial;1074.0;1021.0;1026.0;1016.0;1165.0;1003.0;857.0;1366.0;1202.0;912.0;977;1243;977;1233;960.0
P34;C9;10;Familia_21;Subfamilia_4;Grande;290.62;0.16;Adultos;Blanco;Plástico;4.174.870.827.430.390;Grande;MarcaA;España;480;294386.96;Mixto;15;Este;Baja;9;6961;7635;19;Sí;Media;oct-22;Comercial;7401.0;7651.0;8167.0;9775.0;7444.0;7248.0;14244.0;8184.0;16823.0;9966.0;8082;9961;8957;11424;13395.0
P53;C10;14;Familia_7;Subfamilia_4;Grande;357.25;0.12;Adultos;Azul;Madera;0.6412789856525488;Grande;MarcaC;USA;420;797152.75;Físico;15;Este;Baja;3;2834;16262;9;No;Media;sep-22;Industrial;849.0;1085.0;813.0;746.0;920.0;985.0;846.0;1019.0;921.0;932.0;794;909;816;929;706.0
P11;C11;10;Familia_13;Subfamilia_4;Pequeño;576.07;0.16;Adultos;Verde;Madera;0.512466155894475;Pequeño;MarcaA;USA;641;385158.14;Mixto;15;Oeste;Alta;8;5013;7018;1;Sí;Baja;oct-22;Comercial;1076.0;841.0;903.0;908.0;872.0;955.0;973.0;852.0;1025.0;875.0;971;788;1070;875;959.0
P62;C12;14;Familia_10;Subfamilia_1;Grande;548.69;0.25;Niños;Negro;Madera;7.704.231.705.525.990;Pequeño;MarcaC;Alemania;452;930519.32;Online;15;Oeste;Baja;8;4493;46031;12;No;Alta;sep-20;Industrial;19248.0;16215.0;24658.0;25396.0;23851.0;17055.0;21368.0;14494.0;9463.0;17320.0;19150;22131;12578;16691;20780.0
P63;C13;11;Familia_19;Subfamilia_1;Mediano;69.97;0.26;Niños;Rojo;Madera;4.925.475.817.925.060;Pequeño;MarcaD;China;644;390492.15;Mixto;15;Norte;Alta;8;5249;48272;12;No;Baja;ago-18;Industrial;22460.0;23262.0;31335.0;20458.0;28340.0;21953.0;19048.0;18393.0;16148.0;22826.0;37666;21178;17657;32087;20359.0
P25;C14;11;Familia_14;Subfamilia_4;Mediano;642.7;0.17;Niños;Verde;Plástico;6.003.666.150.518.420;Pequeño;MarcaD;España;121;609496.46;Mixto;15;Este;Baja;2;7813;48397;5;No;Media;ago-18;Residencial;13774.0;12439.0;8015.0;15329.0;9599.0;15907.0;12250.0;13314.0;11304.0;12008.0;10954;10122;11401;13063;10054.0
P51;C15;14;Familia_22;Subfamilia_0;Grande;407.61;0.22;Niños;Verde;Metal;63.052.775.919.915.400;Mediano;MarcaA;USA;453;477368.76;Mixto;15;Oeste;Alta;5;2809;23770;8;No;Media;sep-19;Industrial;590.0;770.0;678.0;599.0;624.0;652.0;787.0;652.0;771.0;646.0;754;750;583;752;676.0
P0;C16;11;Familia_7;Subfamilia_4;Grande;212.54;0.08;Adolescentes;Negro;Madera;890.044.730.279.321;Grande;MarcaA;China;492;939772.97;Mixto;15;Este;Alta;7;3850;34157;18;Sí;Alta;oct-22;Industrial;682.0;870.0;779.0;708.0;700.0;883.0;691.0;807.0;847.0;753.0;653;749;814;895;692.0
P55;C17;11;Familia_19;Subfamilia_2;Mediano;438.44;0.13;Adolescentes;Rojo;Plástico;0.512466155894475;Mediano;MarcaA;USA;850;920912.43;Mixto;15;Norte;Alta;5;7009;11433;9;No;Baja;ago-20;Industrial;171566.0;273379.0;226215.0;233665.0;183636.0;149692.0;152290.0;184606.0;111957.0;219163.0;215940;220076;292917;286762;279081.0
P45;C18;10;Familia_17;Subfamilia_5;Pequeño;554.71;0.16;Niños;Negro;Metal;75.745.191.671.028.900;Pequeño;MarcaD;España;544;141001.18;Mixto;15;Sur;Baja;2;7920;12644;13;Sí;Baja;ago-18;Industrial;67239.0;37477.0;53536.0;78449.0;73578.0;51274.0;29268.0;46932.0;78069.0;60556.0;53432;58784;76426;40771;59121.0
P41;C20;6;Familia_22;Subfamilia_4;Pequeño;130.01;0.07;Niños;Negro;Vidrio;862.454.173.298.195;Mediano;MarcaC;China;674;294260.81;Online;15;Este;Baja;9;1856;39606;15;Sí;Alta;ago-18;Comercial;682.0;683.0;684.0;680.0;683.0;680.0;687.0;684.0;688.0;680.0;686;683;682;682;682.0
P41;C21;1;Familia_22;Subfamilia_4;Pequeño;130.01;0.07;Niños;Negro;Vidrio;862.454.173.298.195;Mediano;MarcaC;China;674;591765.43;Online;15;Este;Baja;9;4533;48147;7;Sí;Media;sep-20;Comercial;701.0;733.0;742.0;716.0;718.0;705.0;724.0;715.0;719.0;706.0;740;728;717;741;715.0
P15;C22;1;Familia_25;Subfamilia_5;Grande;510.13;0.09;Niños;Verde;Madera;862.454.173.298.195;Grande;MarcaB;Alemania;897;930159.46;Mixto;15;Norte;Alta;6;5451;18487;10;No;Baja;ago-20;Residencial;44708.0;42689.0;31417.0;31135.0;42546.0;34744.0;38647.0;34422.0;41631.0;36988.0;47283;58066;32315;61024;33362.0
P48;C23;5;Familia_2;Subfamilia_0;Grande;982.94;0.24;Adultos;Rojo;Madera;0.6412789856525488;Mediano;MarcaB;USA;593;529780.28;Mixto;15;Norte;Baja;8;9919;26880;6;No;Baja;sep-18;Industrial;54304.0;56657.0;58160.0;61616.0;62224.0;43070.0;60937.0;47195.0;65505.0;54858.0;63209;67599;64437;87787;58862.0
P5;C24;5;Familia_17;Subfamilia_5;Pequeño;783.49;0.08;Adolescentes;Verde;Madera;2.892.473.393.442.810;Pequeño;MarcaB;Alemania;321;695683.49;Online;15;Oeste;Alta;6;7252;27150;3;Sí;Alta;sep-20;Residencial;150820.0;101762.0;191738.0;238702.0;213892.0;158708.0;93749.0;188995.0;223642.0;127346.0;227874;184962;219298;112612;163838.0
P9;C25;8;Familia_25;Subfamilia_4;Pequeño;206.52;0.29;Adultos;Azul;Plástico;0.6412789856525488;Pequeño;MarcaC;España;924;347505.5;Online;15;Sur;Baja;5;9027;30295;20;Sí;Alta;sep-20;Residencial;36795.0;30003.0;20131.0;29451.0;49170.0;36961.0;22353.0;44879.0;28726.0;33131.0;35232;34625;28294;45943;20344.0
P51;C12;10;Familia_22;Subfamilia_0;Grande;407.61;0.22;Niños;Verde;Metal;63.052.775.919.915.400;Mediano;MarcaA;USA;453;930519.32;Online;15;Oeste;Baja;8;2587;21502;17;Sí;Media;sep-19;Industrial;681.0;1011.0;891.0;771.0;863.0;684.0;941.0;939.0;1048.0;717.0;1072;921;753;836;1058.0
P52;C19;11;Familia_16;Subfamilia_3;Mediano;532.01;0.2;Adolescentes;Blanco;Plástico;432.979.876.069.808;Grande;MarcaC;USA;272;379588.74;Mixto;15;Este;Media;2;9400;37519;14;Sí;Media;oct-22;Comercial;41162.0;20781.0;32812.0;34258.0;22037.0;20325.0;23265.0;21651.0;35104.0;19385.0;37078;27073;32800;16181;23507.0
